participant_id,total_frames,silent_frames,silent_pct
437,84960,30,0.03531073446327684
438,142989,30,0.02098063487401129
439,128460,30,0.023353573096683792
440,141411,33,0.02333623268345461
441,97131,33,0.03397473515149643
442,95001,33,0.03473647645814255
443,70131,33,0.04705479745048552
444,131049,30,0.022892200627246298
445,70959,30,0.04227793514564748
446,99840,30,0.030048076923076924
447,82029,495,0.6034451230662327
448,121299,1121,0.9241626064518257
449,102969,604,0.5865843117831581
450,127521,148,0.11605931572054799
451,118839,30,0.02524423800267589
452,88911,33,0.0371157674528461
453,103221,33,0.03197023861423547
454,80409,30,0.037309256426519416
455,75039,30,0.0399792108103786
456,88269,30,0.033987016959521464
457,96231,1263,1.3124668765782337
458,94971,33,0.03474744922134125
459,97509,160,0.16408741757171133
461,98151,33,0.03362166457804811
462,96510,30,0.031084861672365557
463,83469,30,0.035941487258742764
464,98031,33,0.03366282094439514
465,116340,458,0.39367371497335396
466,156651,736,0.46983421746429965
467,100239,647,0.6454573569169685
468,93981,33,0.035113480384333005
469,112659,612,0.5432322317790856
470,95541,563,0.5892758082917281
471,99531,33,0.03315549929167797
472,90300,30,0.03322259136212625
473,53331,33,0.0618777071496878
474,92739,618,0.6663863099666807
475,58719,30,0.051090788330863945
476,60879,30,0.049278076183905783
477,124470,1463,1.175383626576685
478,93621,1349,1.4409160337958364
479,91041,33,0.03624740501532277
480,86571,33,0.03811900058911183
481,111639,470,0.4209998298085794
482,101901,33,0.03238437306797774
483,157701,33,0.020925675804211768
484,99549,30,0.030135912967483348
485,60270,30,0.049776007964161276
486,68229,30,0.04396957305544563
487,102351,33,0.03224199079637717
488,88491,431,0.48705518075284493
489,70470,30,0.04257130693912303
490,69129,30,0.043397127110185306
491,88170,30,0.03402517863218782
492,91251,33,0.03616398724397541
